symbol
AAPL
ABBV
ABT
ACN
ADBE
ADI
ADP
ADSK
AIG
AMAT
AMD
AMGN
AMT
AMZN
ANET
AON
APD
AXP
BA
BAC
BIIB
BK
BKNG
BLK
BMY
BRK.B
C
CAT
CB
CCI
CDNS
CI
CL
CMCSA
CME
COF
COP
COST
CRM
CSCO
CVS
CVX
DD
DE
DHR
DIS
DOW
DUK
EMR
EXC
F
FDX
FOXA
GD
GE
GILD
GM
GOOG
GS
HAL
HD
HON
IBM
INTC
INTU
ISRG
JNJ
JPM
KHC
KMI
KO
LLY
LMT
LOW
LRCX
MA
MCD
MDLZ
MDT
MET
META
MO
MRK
MS
MSFT
NEE
NFLX
NKE
NVDA
ORCL
OXY
PEP
PFE
PG
PM
QCOM
RTX
SBUX
SO
SPG
T
TGT
TJX
TMUS
TSLA
TXN
UNH
UPS
USB
V
VZ
WBA
WFC
WMT
XOM
